iter	Passed	Remaining
0	1	150
1	2	137
2	4	131
3	5	128
4	6	126
5	8	132
6	11	157
7	13	153
8	14	148
9	15	143
10	17	141
11	18	137
12	19	133
13	21	129
14	22	129
15	27	142
16	28	139
17	29	135
18	31	133
19	32	130
20	33	127
21	34	124
22	36	121
23	39	124
24	41	124
25	42	121
26	44	119
27	45	116
28	46	113
29	47	111
30	48	108
31	50	106
32	51	104
33	56	109
34	57	107
35	59	105
36	60	103
37	62	101
38	63	98
39	64	96
40	65	93
41	65	90
42	66	88
43	68	87
44	72	88
45	73	86
46	74	83
47	75	81
48	76	80
49	77	77
50	78	75
51	79	73
52	80	71
53	81	69
54	83	67
55	84	66
56	85	64
57	86	62
58	87	61
59	88	59
60	89	57
61	90	55
62	91	53
63	92	52
64	93	50
65	94	48
66	95	47
67	97	45
68	100	44
69	101	43
70	102	41
71	103	40
72	104	38
73	105	37
74	106	35
75	107	33
76	108	32
77	110	31
78	111	29
79	114	28
80	115	27
81	117	25
82	118	24
83	119	22
84	121	21
85	123	20
86	125	18
87	133	18
88	134	16
89	136	15
90	138	13
91	139	12
92	141	10
93	145	9
94	147	7
95	148	6
96	150	4
97	151	3
98	152	1
99	153	0
